Sa,Sd,Sc
0.537073327,0.732852869,0.569799851
0.871089542,0.933321778,0.859842882
0.646641394,0.804140158,0.697785122
0.769766849,0.877363578,0.784264312
0.744082309,0.862602057,0.763333981
0.795597111,0.891962505,0.793105672
0.440339396,0.663580738,0.463894839
0.625095638,0.7906299,0.628547821
0.741373872,0.861030703,0.765155824
0.828376621,0.910151977,0.818861494
0.663382657,0.814483061,0.629290201
0.829010042,0.910499886,0.825770824
0.633007944,0.795617964,0.643304593
0.650158413,0.806324013,0.637801432
0.539181822,0.734290012,0.551742647
0.727027055,0.852658815,0.731212021
0.726917366,0.852594491,0.762282955
0.695523266,0.833980375,0.697600372
0.744416891,0.862795973,0.719416742
0.753462663,0.868022271,0.760955255
0.598040381,0.773330706,0.603017131
0.778213813,0.882164278,0.785294737
0.611593646,0.782044529,0.606277833
0.702198679,0.837972959,0.706163851
0.639591449,0.799744615,0.689895121
0.782735941,0.884723652,0.789954543
0.611110853,0.781735795,0.622710115
0.791668984,0.889757823,0.811334382
0.785506681,0.886288148,0.755584349
0.587589507,0.766543872,0.619176439
0.62983401,0.793620823,0.640501154
0.858919103,0.926778886,0.866139423
0.564280654,0.751186164,0.587246473
0.599936402,0.774555616,0.625216913
0.664376486,0.815092931,0.677940304
0.769781677,0.877372029,0.767210201
0.729634223,0.854186293,0.722087172
0.697033726,0.834885457,0.716320162
0.758625161,0.870990907,0.735200909
0.713207182,0.844515945,0.70049271
0.798855349,0.893787082,0.817823453
0.569661715,0.754759375,0.564813938
0.841845111,0.917521178,0.847761452
0.62541961,0.790834755,0.581624295
0.732441299,0.855827844,0.690981587
0.616193805,0.784980131,0.627402895
0.699232826,0.836201427,0.682239209
0.621203316,0.788164523,0.610709873
0.695657412,0.834060796,0.736845206
0.657232979,0.810699068,0.646276056
0.622791454,0.789171372,0.599986434
0.737310095,0.858667628,0.754096457
0.693711116,0.83289322,0.709436363
0.820136677,0.905613978,0.846764831
0.815395953,0.902992776,0.806386778
0.743072563,0.862016568,0.738771641
0.743595038,0.862319568,0.762639915
0.698545869,0.835790565,0.745123058
0.697584766,0.835215401,0.695313061
0.810215929,0.900119953,0.813037473
0.683223939,0.826573614,0.706369943
0.68114106,0.825312704,0.687807157
0.712277384,0.843965274,0.728308194
0.793192826,0.890613736,0.765510742
0.646753853,0.80421008,0.680097381
0.801794104,0.895429564,0.799469778
0.699128738,0.836139186,0.743785034
0.82189581,0.906584695,0.817269353
0.766186928,0.875321043,0.752145776
0.687399451,0.829095562,0.664914909
0.69086037,0.831180107,0.681724916
0.775967787,0.880890337,0.786662456
0.725887062,0.85199006,0.712023028
0.522035231,0.722520056,0.514410657
0.755863896,0.869404334,0.731116874
0.650426952,0.806490516,0.665349244
0.834597897,0.913563297,0.824096186
0.561604468,0.749402741,0.594468871
0.811475861,0.90081955,0.791199012
0.516716621,0.718830036,0.523196584
0.54429002,0.737760137,0.550807612
0.79923505,0.893999469,0.803538885
0.689806826,0.830546101,0.659365891
0.705604118,0.840002451,0.685887523
0.719991329,0.848523028,0.690730943
0.810498822,0.900277081,0.798268963
0.711789872,0.843676402,0.731980159
0.620144068,0.787492265,0.652654053
0.683109921,0.826504641,0.70406022
0.624137047,0.790023447,0.566886574
0.729069513,0.853855674,0.755755591
0.667128876,0.816779576,0.682917581
0.77847305,0.882311198,0.781870685
0.348787248,0.590582126,0.334981728
0.718091141,0.847402585,0.700534135
0.815216707,0.902893519,0.776098148
0.832498253,0.912413422,0.830752768
0.664789027,0.815345955,0.714360776
0.64123078,0.800768868,0.680381661
0.656085845,0.809991262,0.681854019
0.442898863,0.665506471,0.425265923
0.593973296,0.77069663,0.642625242
0.722279052,0.849870021,0.712518435
